STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : DENIZLI CARDAK ILCE GIDA TARIM VE HAYVANCILIK MUDURLUGU
EARTHQUAKE DATE         : 2019/08/08 11:25:30 (GMT)
EPICENTER COORDINATES   : 37.85100N-29.58400E
EARTHQUAKE DEPTH (km)   : 10.92
EARTHQUAKE MAGNITUDE    : 6.0 Mw
STATION ID              : 2005
STATION COORDINATES     : 37.82446N-29.66813E
STATION ALTITUDE (m)    : 863
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 52709/101159
RECORD TIME             : 08/08/2019 11:25:27.00 (GMT)
NUMBER OF DATA          : 3776
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 423.363542 (E-W) 274.004174 (U-D) 347.534292
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.002859     -0.026767     0.033524
    0.001040     -0.024948     0.007277
   -0.005198      0.016112    -0.014033
    0.016372     -0.009875    -0.009875
    0.007017     -0.012474    -0.023649
    0.029106     -0.007796     0.011954
    0.042880     -0.032745     0.006497
   -0.033264     -0.022090     0.025728
   -0.008056      0.006757     0.007796
   -0.001299     -0.037942    -0.062111
   -0.011435     -0.038982     0.019751
    0.054834      0.038202     0.019491
    0.049377     -0.003378    -0.045998
   -0.002339     -0.026248     0.019231
   -0.019491     -0.010915     0.031705
   -0.006497     -0.017412     0.010915
    0.013773      0.003378    -0.015852
    0.016632     -0.031185    -0.051456
    0.023649     -0.017152     0.005717
    0.001299     -0.003119     0.023129
   -0.017932     -0.038722     0.008576
    0.032225      0.018971     0.002599
    0.008056     -0.010655    -0.032745
    0.000780     -0.036123     0.015333
    0.058992      0.030925     0.024169
    0.011954     -0.040541    -0.015852
   -0.034564     -0.027807    -0.006497
   -0.034044      0.005198     0.017152
    0.026248     -0.020530     0.011694
    0.047557      0.006237    -0.042360
   -0.016892     -0.047298    -0.006757
    0.040541     -0.013254     0.017672
    0.030665      0.005198    -0.010915
   -0.051456     -0.027027     0.014813
    0.022090      0.017932     0.006237
    0.020011     -0.001819    -0.000520
   -0.010915     -0.034564     0.004158
    0.043399     -0.020270    -0.018711
